,0,1,2,3,4
STD_6M_Excess,-0.2679946098254898,-0.17153714613858712,-0.0425554597282472,0.004139859211105157,0.06981728239126063
VSTD_1M,-0.2409038765394425,-0.24274928904555945,-0.06888130359873326,0.0015991604732677966,0.0660807296573343
GrossProfitMarginQ,-0.2273423764447649,-0.021868083086465345,-0.06233858942834331,-0.057041887999467675,-0.08677062551439191
STD_3M_Excess,-0.2257987211625433,-0.17574352242987618,-0.1551735399197959,0.15601699691174853,-0.0038942362474636365
NetOperateCashFlowQYOY,-0.2066401683119967,-0.04563902441026769,-0.04713611715403835,-0.0441337651678391,-0.10615184845512507
STD_3M,-0.20066034115716272,-0.14082717880625487,-0.06570101408727656,-0.0299311258227189,0.005085219861238009
GrossProfitMargin,-0.18753334830405832,-0.05746754631388017,-0.04279307091158949,-0.017822560577522892,-0.12138904112176845
Ret252_21,-0.1779158382184415,-0.026292208466852082,-0.07732296371858756,0.02169099042495129,-0.1526187289477539
VSTD_6M,-0.13779731358395378,-0.2095569237428477,-0.1042044768202892,-0.0634234301251585,0.017476053808138298
BLEV,-0.12905239708765176,-0.07482838106792429,-0.13519123788865806,-0.09381140981593243,-0.05125616680627623
NetProfitMargin,-0.12854307977741622,0.015373619576749738,-0.13063386809495509,-0.04124244646610594,-0.008689202829191747
NetProfitQYOY,-0.12579137984285235,0.02745169983697984,-0.010741722560343005,-0.13941858086636005,-0.17820420899232867
LnTotalMV,-0.12274406163157052,-0.2358147690726492,-0.41028668032223503,0.15401684203070154,0.16917925503684603
GGrossProfitMarginQ,-0.1184409292865092,0.018684869833996257,0.001648944047877773,-0.05380023191489646,-0.24176531792446124
CFO,-0.11144289915752204,-0.11987898776388085,-0.09891807309175267,-0.004610424503052062,-0.10540144535956453
TotalMVNL,-0.10904648907447803,-0.29055686382309065,-0.32075798074567313,0.15210838854036365,0.11715636312881834
Beta252,-0.10816518670188376,-0.0745895067047634,-0.08770469830745835,0.035177667127578936,-0.18143032762565225
ROA,-0.10273713081001154,-0.017528332620918224,-0.1371432719000827,0.002087262712478459,-0.18129811252185013
NetProfitCashCover,-0.10143457318293768,-0.11814988638446483,-0.06246999581595088,-0.2873256373571254,0.11745513558848092
CurrentRatio,-0.10075979731819566,-0.17738088093730098,-0.07156542813668244,-0.09298827446287,0.011159920674177816
IMFFFactorNoAlpha,-0.0939409571691414,-0.01179948865066592,-0.10343920031854156,-0.10409338688173013,-0.106821979014205
OperatingRevenueQYOY,-0.08417207832635548,-0.08261139557367897,0.0010628697283882747,-0.04072208802405975,-0.21198367388657152
ROE_ExDiluted,-0.07552194288293307,-0.07046998430011943,-0.032168869790778626,-0.21224608715550144,-0.07294415894904728
HighLow_3M,-0.0650923109622718,0.013858568528450677,-0.22724482941796606,-0.12810121040187894,-0.042382370597603296
HighLow_1M,-0.059378644716435225,-0.15229447073720295,-0.037557808903923504,-0.0137682869835409,-0.1667071925263025
GPOA,-0.04797113623376974,-0.10551788473716857,-0.06649924452061272,0.040891711152560864,-0.24828988557184464
ROE_Diluted,-0.040071150295135034,-0.0989173357699233,-0.008050824437581166,-0.13643204387815394,-0.13946230266545362
HighLow_6M,-0.032828233923955716,-0.11023993086840404,-0.123847022182783,-0.09796934997837832,-0.06852846385436179
DividendRatioTTM,-0.02780651180641651,-0.0061102625462156794,0.028357695449865036,-0.25798279529138946,-0.14800730752179356
ROE_ExDilutedQ,-0.02258224639648724,-0.17436188018123042,0.0248368629368117,-0.20965838725386285,-0.0713666464261395
NetProfitMarginQ,-0.021845732573146988,-0.04318157651185602,-0.17016275834887373,-0.10344631035956167,0.035930435425173116
GROAQ,-0.016780859411359195,0.015271053229122488,-0.009249196058490044,-0.16904611339714345,-0.2223005017566892
TotalMV,-0.014537711988133598,-0.06249654767239021,-0.2068973022132661,-0.14306252253556584,-0.04746289537253641
NegotiableMV,-0.011647615883402804,-0.04643134100107105,-0.09463393234984503,-0.010581394145694806,-0.2579248073097345
ROAQ,-0.002434726846485599,-0.1188899944279451,-0.14609198871861345,0.0030139781623071795,-0.18582036944521305
MLEV,-0.0002435202957950165,-0.05586662942816935,-0.15463370608582366,-0.16488797243986042,-0.10056332565647674
GROEQ,1.8814433283155604e-05,0.04595306037504314,0.03275835754791573,-0.3089748379549679,-0.17694899317461799
MinRet21,0.01692818768966306,-0.10138987653943056,-0.03757487361606841,-0.12681254549834875,-0.17192597513350433
AssetsTurn,0.019163077461098948,-0.09649354894999973,-0.11944296007106815,0.010571220439552515,-0.21997279381001025
ROE_DilutedQ,0.029100221366480637,-0.126380754498406,0.00048397540664109735,-0.18273812343629897,-0.15921749947488095
DTOA,0.03715729059856896,-0.2082174675032356,-0.10233767441682286,-0.043284687326373486,-0.12104453792868765
GPOAQ,0.03770204686200145,-0.11419693701991715,-0.10925032385788233,-0.029593094450655014,-0.23468713009338935
QualityFactor,0.06909809963660614,-0.04769880247192498,-0.08505986006686707,-0.06500062849993557,-0.28283759088480626
EPTTM,0.07443365851976151,-0.061689620857598874,-0.12493454497011995,-0.07656939485952685,-0.2591937675647793
SPTTM,0.07607788806862431,-0.04128993191966105,-0.11980053508207712,-0.07543447098428979,-0.2510484398207971
APBFactor_1M,0.07752081107721481,-0.08492206430910018,-0.046424825233995236,-0.1422926643193481,-0.21176214807686086
AmihudILLIQ,0.08131163390131349,0.05328835965874065,0.017020695218589812,-0.21872536882186305,-0.3277800870850393
GGPOAQ,0.11132622039795767,-0.051428394673934924,-0.10035058754438378,-0.048192657208423736,-0.2942651590185208
NCFPTTM,0.11869616277458787,-0.17598304442365562,-0.2192296335010186,0.010962217601710098,-0.17071890059520148
BP,0.12641148373694716,-0.10025400726838124,-0.06952514222763657,-0.023869543204226497,-0.3005031820029957
OCFPTTM,0.21625711390551056,-0.18803864843500984,0.08616981385149575,-0.17329259370817468,-0.06841682940645255
APBFactor_5D,0.28848195402446664,-0.05013323048721551,-0.19020757866199065,-0.08661105234071759,-0.2845776596000453
