,0,1,2,3,4
NetProfitMargin,-0.04727413421433136,0.005754005631587678,-0.04694498983248252,-0.01427011414904511,-0.0030308067635740343
LnTotalMV,-0.0454875118409791,-0.08807575569968462,-0.1486295935501636,0.05938677498252697,0.06302599662332309
BLEV,-0.044852542942833466,-0.025822255774023528,-0.04943098651046751,-0.03575129782105746,-0.02122093612923281
NetProfitQYOY,-0.044647012699668635,0.010383821359237544,-0.004083501117489008,-0.05296295500190473,-0.06724903733584131
GGrossProfitMarginQ,-0.04445339166216045,0.006792389015000788,0.0006333623531515897,-0.020130455822886417,-0.08794465330439039
Beta252,-0.04301861795096995,-0.028873693502131318,-0.03293526692599713,0.012435244895976359,-0.060750989567873614
ROA,-0.04262060359683939,-0.006665486340274196,-0.0492932927301758,0.0007686578496068908,-0.06494791588265703
TotalMVNL,-0.04217874466416949,-0.10538388190243296,-0.11529843010415908,0.059501527150173976,0.042426885802968384
CFO,-0.039144326861245804,-0.04291904304805172,-0.035983430209007294,-0.0017649492730295036,-0.04104499022940522
CurrentRatio,-0.036532400682931176,-0.06932755842661675,-0.027160927104391885,-0.033481749964802576,0.004084049353682007
IMFFFactorNoAlpha,-0.035790670833935063,-0.00454933048089412,-0.038466606459478185,-0.03801740108330842,-0.03802249888225173
NetProfitCashCover,-0.03576423879287072,-0.042534250093768766,-0.02303566084909292,-0.11046539652420916,0.04622274010936312
OperatingRevenueQYOY,-0.032750576026458145,-0.03064953192060216,0.0004030975765274558,-0.015242574588926416,-0.07798753665156477
ROE_ExDiluted,-0.02730085895411194,-0.027391422955285738,-0.012056075312656957,-0.07289034977157682,-0.027557129301544525
HighLow_3M,-0.026996961817605136,0.00545856766951025,-0.08487515183747374,-0.04578202133691334,-0.014094367645691832
HighLow_1M,-0.024458525501456663,-0.05797398650748131,-0.01329277221078573,-0.005133453336076177,-0.056574272341356924
GPOA,-0.019350344555136626,-0.03969423794199967,-0.02515375318983759,0.015160638747016675,-0.0862453328467
ROE_Diluted,-0.014370963830489969,-0.03760877380682337,-0.0030265203312956897,-0.05007486686519158,-0.05098158274087938
HighLow_6M,-0.013402978464181923,-0.04263306068451134,-0.044769493173133945,-0.03628446238504324,-0.022714559966280023
DividendRatioTTM,-0.010116101702171254,-0.0021302264208024053,0.01042948555393175,-0.0996518559981957,-0.05608488664481792
ROE_ExDilutedQ,-0.008044010373774002,-0.06524470810238536,0.00959999069882067,-0.0772553445302393,-0.02628372857651517
NetProfitMarginQ,-0.0074354173554284095,-0.014001717452976405,-0.05535013232301322,-0.03278328216663784,0.011912228182970441
GROAQ,-0.006263176695305628,0.005787733250471439,-0.0034823266103151122,-0.060795764327229114,-0.08455711169330292
TotalMV,-0.00544808950480824,-0.02279285185387947,-0.0794998277454968,-0.05239940989374825,-0.01849989248559181
NegotiableMV,-0.004004236307154518,-0.017997635326336914,-0.03537564706885343,-0.0042202068222649824,-0.0959875225732154
ROAQ,-0.0009822118753854971,-0.04564882759942945,-0.052336954847971295,0.0011688724252170155,-0.06686005178897092
MLEV,-8.527239900746329e-05,-0.01979677647726219,-0.055872834956150814,-0.0633120269554075,-0.03946728815671119
GROEQ,7.013751228246434e-06,0.01636499665951541,0.012784485225683095,-0.1142647467941884,-0.06557019893246452
MinRet21,0.005490189324632855,-0.03571535338610243,-0.01462843137451142,-0.04684462301589765,-0.0714926108188747
AssetsTurn,0.0071934754783122825,-0.034504094883970333,-0.04359192776787646,0.004033251458609222,-0.08016549868149025
ROE_DilutedQ,0.010351182121971059,-0.04681620993174107,0.00018811407304775152,-0.0689967347174546,-0.0586123687311697
DTOA,0.01326586506980032,-0.07178511492385642,-0.03804759064882435,-0.015986969989593036,-0.04880956503382616
GPOAQ,0.015777237527411447,-0.041474478079391315,-0.04057196906958693,-0.011046083088332659,-0.08070056688310268
EPTTM,0.027458949595960732,-0.02132141713567404,-0.04474740339175165,-0.03134026528116906,-0.09769384973990647
SPTTM,0.02770135036374044,-0.014690033626129416,-0.04581717436536281,-0.028558267543929764,-0.10040845516455876
QualityFactor,0.027835911314587625,-0.016758307584694543,-0.03244881905755992,-0.024168646686264502,-0.10230484088030678
APBFactor_1M,0.028921048600738075,-0.03129434809014664,-0.016407331959578886,-0.05091617564701145,-0.08221307251201715
AmihudILLIQ,0.03035152058559354,0.0200129229739916,0.006423894689433053,-0.08189954062505511,-0.11885590412984293
NCFPTTM,0.03991787557774496,-0.06732745244866943,-0.08033363121393966,0.004463894686022485,-0.06703755646710541
GGPOAQ,0.04279670903568822,-0.01942418142361291,-0.03721919773722837,-0.017268985404314763,-0.10638226446804457
BP,0.04427040106706714,-0.035314436149208706,-0.02544256251888011,-0.009132185841085327,-0.1233883867673966
OCFPTTM,0.0784209950070538,-0.06634831481222858,0.033420167619256036,-0.06653530778330596,-0.02624393555365556
APBFactor_5D,0.1079944100622745,-0.018825181644636646,-0.0685890804840783,-0.03103448471294035,-0.11048496010367637
