,codes,sec_name,SEO_class,wind_class,sw_class,zx_class
69,600820.SH,隧道股份,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-城轨建设,建筑--建筑施工--基建建设
70,600846.SH,同济科技,建筑业-土木工程建筑业,,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑设计及服务Ⅱ--建筑设计及服务Ⅲ
71,600853.SH,龙建股份,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-路桥施工,建筑--建筑施工--基建建设
72,600939.SH,重庆建工,建筑业-房屋建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑施工--房建建设
73,600970.SH,中材国际,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-国际工程承包,建筑--建筑施工--专业工程及其他
74,601068.SH,中铝国际,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-其他专业工程,建筑--建筑施工--专业工程及其他
75,601117.SH,中国化学,建筑业-土木工程建筑业,,建筑装饰-专业工程-化学工程,建筑--建筑施工--专业工程及其他
76,601186.SH,中国铁建,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-铁路建设,建筑--建筑施工--基建建设
77,601390.SH,中国中铁,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-铁路建设,建筑--建筑施工--基建建设
78,601611.SH,中国核建,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-其他基础建设,建筑--建筑施工--基建建设
79,601618.SH,中国中冶,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-其他专业工程,建筑--建筑施工--基建建设
80,601668.SH,中国建筑,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑施工--房建建设
81,601669.SH,中国电建,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-水利工程,建筑--建筑施工--基建建设
82,601789.SH,宁波建工,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑施工--房建建设
83,601800.SH,中国交建,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-路桥施工,建筑--建筑施工--基建建设
84,601886.SH,江河集团,建筑业-建筑装饰和其他建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
85,603007.SH,花王股份,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
86,603030.SH,全筑股份,建筑业-建筑装饰和其他建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
87,603098.SH,森特股份,建筑业-建筑装饰和其他建筑业,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑装饰-专业工程-钢结构,建筑--建筑施工--专业工程及其他
88,603316.SH,诚邦股份,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
89,603388.SH,元成股份,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
90,603637.SH,镇海股份,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-化学工程,建筑--建筑施工--专业工程及其他
91,603717.SH,天域生态,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
92,603778.SH,乾景园林,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
93,603815.SH,交建股份,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-路桥施工,建筑--建筑施工--基建建设
94,603828.SH,柯利达,建筑业-建筑装饰和其他建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
95,603843.SH,正平股份,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-路桥施工,建筑--建筑施工--基建建设
96,603929.SH,亚翔集成,建筑业-建筑安装业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-其他专业工程,建筑--建筑施工--专业工程及其他
97,603955.SH,大千生态,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑--建筑施工--园林工程
98,603959.SH,百利科技,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-化学工程,建筑--建筑施工--专业工程及其他
99,605178.SH,时空科技,建筑业-建筑装饰和其他建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑--建筑施工--专业工程及其他
100,900939.SH,汇丽B,建筑业-建筑装饰和其他建筑业,,,
101,688569.SH,铁科轨道,,材料--材料Ⅱ--建材Ⅲ--建材,,
102,300163.SZ,先锋新材,,材料--材料Ⅱ--建材Ⅲ--建材,,建材--专用材料Ⅱ--其他专用材料
103,300135.SZ,宝利国际,,材料--材料Ⅱ--建材Ⅲ--建材,,
104,000012.SZ,南玻A,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
105,000023.SZ,深天地A,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--结构材料--水泥
106,000401.SZ,冀东水泥,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
107,000672.SZ,上峰水泥,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
108,000786.SZ,北新建材,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
109,000789.SZ,万年青,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
110,000877.SZ,天山股份,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
111,000935.SZ,四川双马,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
112,002066.SZ,瑞泰科技,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-耐火材料,建材--专用材料Ⅱ--其他专用材料
113,002080.SZ,中材科技,,材料--材料Ⅱ--建材Ⅲ--建材,,建材--专用材料Ⅱ--玻璃纤维
114,002088.SZ,鲁阳节能,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-耐火材料,建材--专用材料Ⅱ--其他专用材料
115,002201.SZ,九鼎新材,,材料--材料Ⅱ--建材Ⅲ--建材,,建材--专用材料Ⅱ--玻璃纤维
116,002225.SZ,濮耐股份,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-耐火材料,建材--专用材料Ⅱ--其他专用材料
117,002233.SZ,塔牌集团,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
118,002271.SZ,东方雨虹,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
119,002302.SZ,西部建设,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--结构材料--水泥
120,002392.SZ,北京利尔,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-耐火材料,建材--专用材料Ⅱ--其他专用材料
121,002596.SZ,海南瑞泽,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--结构材料--水泥
122,002742.SZ,三圣股份,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--结构材料--水泥
123,002785.SZ,万里石,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
124,200012.SZ,南玻B,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
125,300093.SZ,金刚玻璃,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
126,300196.SZ,长海股份,,材料--材料Ⅱ--建材Ⅲ--建材,,建材--专用材料Ⅱ--玻璃纤维
127,300715.SZ,凯伦股份,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
128,300737.SZ,科顺股份,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
129,600176.SH,中国巨石,,材料--材料Ⅱ--建材Ⅲ--建材,,建材--专用材料Ⅱ--玻璃纤维
130,600425.SH,青松建化,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
131,600449.SH,宁夏建材,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
132,600539.SH,ST狮头,,材料--材料Ⅱ--建材Ⅲ--建材,,
133,600585.SH,海螺水泥,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
134,600586.SH,金晶科技,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
135,600678.SH,四川金顶,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--结构材料--水泥
136,600720.SH,祁连山,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
137,600801.SH,华新水泥,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
138,600802.SH,福建水泥,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
139,600819.SH,耀皮玻璃,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
140,600881.SH,亚泰集团,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,
141,600883.SH,博闻科技,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
142,601636.SH,旗滨集团,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
143,601865.SH,福莱特,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,
144,601992.SH,金隅集团,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,
145,605006.SH,山东玻纤,,材料--材料Ⅱ--建材Ⅲ--建材,,建材--专用材料Ⅱ--玻璃纤维
146,688398.SH,赛特新材,,材料--材料Ⅱ--建材Ⅲ--建材,,
147,900918.SH,耀皮B股,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建材--结构材料--玻璃
148,900933.SH,华新B股,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
149,000546.SZ,金圆股份,,材料--材料Ⅱ--建材Ⅲ--建材,建筑材料-水泥制造Ⅱ-水泥制造Ⅲ,建材--结构材料--水泥
150,000619.SZ,海螺型材,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
151,002084.SZ,海鸥住工,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
152,002162.SZ,悦心健康,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--陶瓷
153,002205.SZ,国统股份,,工业--资本货物--建筑产品Ⅲ--建筑产品,,建材--结构材料--其他结构材料
154,002333.SZ,ST罗普,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建材--装饰材料--其他装饰材料
155,002359.SZ,*ST北讯,,工业--资本货物--建筑产品Ⅲ--建筑产品,,
156,002372.SZ,伟星新材,,工业--资本货物--建筑产品Ⅲ--建筑产品,建筑材料-其他建材Ⅱ-管材,建材--装饰材料--其他装饰材料
